n_simulations,team,champion_prob
500,Mexico,0.026
500,Netherlands,0.096
500,Brazil,0.126
500,Spain,0.192
500,Switzerland,0.036
500,Morocco,0.012
500,Portugal,0.062
500,Austria,0.012
500,Argentina,0.066
500,Croatia,0.006
500,France,0.08
500,Australia,0.002
500,England,0.052
500,Colombia,0.034
500,Ecuador,0.018
500,Canada,0.01
500,Japan,0.038
500,Norway,0.01
500,Senegal,0.01
500,South Korea,0.004
500,Belgium,0.03
500,Germany,0.056
500,Uruguay,0.01
500,Paraguay,0.004
500,Türkiye,0.002
500,Iran,0.002
500,Uzbekistan,0.002
500,Algeria,0.002
1000,Mexico,0.02
1000,Netherlands,0.098
1000,Brazil,0.124
1000,Spain,0.198
1000,Switzerland,0.039
1000,Morocco,0.011
1000,Portugal,0.056
1000,Austria,0.01
1000,Argentina,0.067
1000,Croatia,0.007
1000,France,0.087
1000,Australia,0.001
1000,England,0.048
1000,Colombia,0.032
1000,Ecuador,0.016
1000,Canada,0.013
1000,Japan,0.037
1000,Norway,0.008
1000,Senegal,0.008
1000,South Korea,0.003
1000,Belgium,0.03
1000,Germany,0.056
1000,Uruguay,0.012
1000,Paraguay,0.006
1000,Türkiye,0.004
1000,Iran,0.001
1000,Uzbekistan,0.002
1000,Algeria,0.002
1000,Egypt,0.001
1000,Scotland,0.002
1000,Sweden,0.001
1500,Mexico,0.020666666666666667
1500,Netherlands,0.096
1500,Brazil,0.13333333333333333
1500,Spain,0.21
1500,Switzerland,0.032
1500,Morocco,0.010666666666666666
1500,Portugal,0.05333333333333334
1500,Austria,0.008666666666666666
1500,Argentina,0.06466666666666666
1500,Croatia,0.008
1500,France,0.09066666666666667
1500,Australia,0.0013333333333333333
1500,England,0.051333333333333335
1500,Colombia,0.028666666666666667
1500,Ecuador,0.016
1500,Canada,0.013333333333333334
1500,Japan,0.03333333333333333
1500,Norway,0.007333333333333333
1500,Senegal,0.006
1500,South Korea,0.002
1500,Belgium,0.029333333333333333
1500,Germany,0.054
1500,Uruguay,0.011333333333333334
1500,Paraguay,0.005333333333333333
1500,Türkiye,0.0033333333333333335
1500,Iran,0.0013333333333333333
1500,Uzbekistan,0.0013333333333333333
1500,Algeria,0.0013333333333333333
1500,Egypt,0.0006666666666666666
1500,Scotland,0.0026666666666666666
1500,Sweden,0.0006666666666666666
1500,Czechia,0.0013333333333333333
2000,Mexico,0.022
2000,Netherlands,0.0965
2000,Brazil,0.133
2000,Spain,0.207
2000,Switzerland,0.03
2000,Morocco,0.0115
2000,Portugal,0.0525
2000,Austria,0.007
2000,Argentina,0.0575
2000,Croatia,0.0085
2000,France,0.091
2000,Australia,0.002
2000,England,0.0525
2000,Colombia,0.032
2000,Ecuador,0.0155
2000,Canada,0.0125
2000,Japan,0.036
2000,Norway,0.0095
2000,Senegal,0.008
2000,South Korea,0.002
2000,Belgium,0.0275
2000,Germany,0.0545
2000,Uruguay,0.012
2000,Paraguay,0.006
2000,Türkiye,0.0035
2000,Iran,0.002
2000,Uzbekistan,0.001
2000,Algeria,0.001
2000,Egypt,0.0005
2000,Scotland,0.0025
2000,Sweden,0.0005
2000,Czechia,0.001
2000,United States,0.0005
2000,Panama,0.0005
2000,New Zealand,0.0005
2500,Mexico,0.0232
2500,Netherlands,0.0956
2500,Brazil,0.1296
2500,Spain,0.208
2500,Switzerland,0.0276
2500,Morocco,0.0108
2500,Portugal,0.05
2500,Austria,0.0072
2500,Argentina,0.0572
2500,Croatia,0.0076
2500,France,0.0948
2500,Australia,0.0016
2500,England,0.0532
2500,Colombia,0.0332
2500,Ecuador,0.0144
2500,Canada,0.0136
2500,Japan,0.036
2500,Norway,0.0112
2500,Senegal,0.0072
2500,South Korea,0.0016
2500,Belgium,0.0304
2500,Germany,0.0512
2500,Uruguay,0.0132
2500,Paraguay,0.0068
2500,Türkiye,0.0048
2500,Iran,0.002
2500,Uzbekistan,0.0008
2500,Algeria,0.0008
2500,Egypt,0.0004
2500,Scotland,0.0036
2500,Sweden,0.0004
2500,Czechia,0.0008
2500,United States,0.0004
2500,Panama,0.0004
2500,New Zealand,0.0004
3000,Mexico,0.023
3000,Netherlands,0.093
3000,Brazil,0.128
3000,Spain,0.21266666666666667
3000,Switzerland,0.029333333333333333
3000,Morocco,0.011666666666666667
3000,Portugal,0.049
3000,Austria,0.007666666666666666
3000,Argentina,0.062
3000,Croatia,0.007666666666666666
3000,France,0.098
3000,Australia,0.002
3000,England,0.05
3000,Colombia,0.03233333333333333
3000,Ecuador,0.014
3000,Canada,0.012333333333333333
3000,Japan,0.035
3000,Norway,0.012
3000,Senegal,0.006666666666666667
3000,South Korea,0.0026666666666666666
3000,Belgium,0.027666666666666666
3000,Germany,0.04933333333333333
3000,Uruguay,0.013
3000,Paraguay,0.006
3000,Türkiye,0.005
3000,Iran,0.002
3000,Uzbekistan,0.0006666666666666666
3000,Algeria,0.0006666666666666666
3000,Egypt,0.001
3000,Scotland,0.0036666666666666666
3000,Sweden,0.0003333333333333333
3000,Czechia,0.0006666666666666666
3000,United States,0.0003333333333333333
3000,Panama,0.0003333333333333333
3000,New Zealand,0.0003333333333333333
3500,Mexico,0.024285714285714285
3500,Netherlands,0.09514285714285714
3500,Brazil,0.12371428571428572
3500,Spain,0.21228571428571427
3500,Switzerland,0.027428571428571427
3500,Morocco,0.012
3500,Portugal,0.048857142857142856
3500,Austria,0.009428571428571429
3500,Argentina,0.061714285714285715
3500,Croatia,0.007714285714285714
3500,France,0.09685714285714286
3500,Australia,0.002
3500,England,0.05228571428571428
3500,Colombia,0.03485714285714286
3500,Ecuador,0.013714285714285714
3500,Canada,0.013142857142857144
3500,Japan,0.032857142857142856
3500,Norway,0.012571428571428572
3500,Senegal,0.006
3500,South Korea,0.0025714285714285713
3500,Belgium,0.028857142857142856
3500,Germany,0.047714285714285716
3500,Uruguay,0.013142857142857144
3500,Paraguay,0.005714285714285714
3500,Türkiye,0.004285714285714286
3500,Iran,0.002857142857142857
3500,Uzbekistan,0.0005714285714285715
3500,Algeria,0.0008571428571428571
3500,Egypt,0.0008571428571428571
3500,Scotland,0.0034285714285714284
3500,Sweden,0.00028571428571428574
3500,Czechia,0.0008571428571428571
3500,United States,0.00028571428571428574
3500,Panama,0.0005714285714285715
3500,New Zealand,0.00028571428571428574
4000,Mexico,0.02425
4000,Netherlands,0.0945
4000,Brazil,0.12425
4000,Spain,0.21075
4000,Switzerland,0.02825
4000,Morocco,0.0135
4000,Portugal,0.049
4000,Austria,0.00925
4000,Argentina,0.06225
4000,Croatia,0.008
4000,France,0.09575
4000,Australia,0.00175
4000,England,0.054
4000,Colombia,0.035
4000,Ecuador,0.0135
4000,Canada,0.0135
4000,Japan,0.032
4000,Norway,0.012
4000,Senegal,0.00625
4000,South Korea,0.00225
4000,Belgium,0.029
4000,Germany,0.04775
4000,Uruguay,0.01225
4000,Paraguay,0.0055
4000,Türkiye,0.005
4000,Iran,0.00275
4000,Uzbekistan,0.0005
4000,Algeria,0.00075
4000,Egypt,0.00075
4000,Scotland,0.00325
4000,Sweden,0.0005
4000,Czechia,0.001
4000,United States,0.00025
4000,Panama,0.0005
4000,New Zealand,0.00025
4500,Mexico,0.023777777777777776
4500,Netherlands,0.09422222222222222
4500,Brazil,0.12466666666666666
4500,Spain,0.20844444444444443
4500,Switzerland,0.029111111111111112
4500,Morocco,0.013777777777777778
4500,Portugal,0.04777777777777778
4500,Austria,0.008666666666666666
4500,Argentina,0.06133333333333333
4500,Croatia,0.009777777777777778
4500,France,0.09533333333333334
4500,Australia,0.0022222222222222222
4500,England,0.05355555555555556
