n_simulations,mean_champion_prob_top_k,median_champion_prob_all,p90_champion_prob_all,max_top_k_delta
500,0.09125,0.002,0.06320000000000002,inf
1000,0.09175,0.0025,0.05930000000000005,0.006999999999999992
1500,0.09416666666666668,0.002333333333333333,0.05720000000000004,0.011999999999999983
2000,0.09306249999999999,0.0022500000000000003,0.05540000000000001,0.0071666666666666615
2500,0.09245,0.0028,0.05440000000000002,0.003799999999999998
3000,0.09275,0.0031666666666666666,0.05360000000000005,0.004799999999999999
3500,0.09232142857142858,0.0031428571428571426,0.055114285714285755,0.004285714285714282
4000,0.09228125,0.003,0.05647500000000003,0.0017142857142857168
4500,0.09177777777777776,0.0028888888888888888,0.055888888888888925,0.0023055555555555607
5000,0.091725,0.0029,0.05606000000000003,0.001777777777777781
5500,0.0916818181818182,0.002818181818181818,0.055709090909090944,0.001654545454545464
6000,0.09168749999999999,0.0029166666666666664,0.05738333333333337,0.0017424242424242398
6500,0.09178846153846155,0.002923076923076923,0.057215384615384654,0.0019871794871794968
7000,0.09185714285714286,0.002928571428571429,0.05678571428571432,0.0025604395604395536
7500,0.09179999999999999,0.0029333333333333334,0.056146666666666706,0.0022190476190476205
8000,0.09175,0.002875,0.056050000000000044,0.0015666666666666607
8500,0.09163235294117647,0.0029411764705882353,0.05628235294117651,0.001676470588235307
9000,0.09169444444444444,0.0028333333333333335,0.055700000000000034,0.0014183006535947729
9500,0.09160526315789473,0.0027368421052631577,0.05522105263157899,0.0006842105263157872
10000,0.0916375,0.0027,0.05475000000000005,0.0017210526315789426
10500,0.09163095238095238,0.0025714285714285713,0.05485714285714291,0.0011904761904761932
11000,0.0917159090909091,0.0025454545454545456,0.05500000000000005,0.0004329004329004238
11500,0.09173913043478261,0.002434782608695652,0.05527826086956526,0.0009328063241106632
12000,0.09196875,0.0025,0.055425000000000044,0.0014782608695652066
12500,0.092,0.0024400000000000003,0.05552000000000005,0.0008733333333333232
13000,0.09200961538461538,0.0023846153846153843,0.055338461538461586,0.0011692307692307558
13500,0.09209259259259259,0.002481481481481481,0.055340740740740794,0.001378917378917377
14000,0.09214285714285714,0.0024285714285714284,0.05501428571428577,0.0011375661375661317
14500,0.09212068965517242,0.0024827586206896553,0.054903448275862125,0.0005566502463054124
15000,0.09200833333333333,0.0024666666666666665,0.05510666666666673,0.0005379310344827554
15500,0.09196774193548388,0.002483870967741935,0.05516774193548393,0.00033763440860215543
