team,finalist_probability
Spain,0.3229677419354839
Argentina,0.18903225806451612
France,0.16503225806451613
Netherlands,0.15883870967741937
Brazil,0.152
Germany,0.11729032258064516
England,0.10316129032258065
Mexico,0.08864516129032259
Switzerland,0.08219354838709678
Ecuador,0.07161290322580645
Japan,0.06858064516129032
Portugal,0.06780645161290323
Belgium,0.0467741935483871
Morocco,0.044
Colombia,0.043483870967741936
Uruguay,0.03664516129032258
Croatia,0.03264516129032258
Canada,0.03225806451612903
Türkiye,0.030838709677419356
Norway,0.026903225806451613
Senegal,0.026064516129032256
Austria,0.016451612903225808
Paraguay,0.01367741935483871
South Korea,0.009935483870967743
Iran,0.008709677419354838
Scotland,0.008387096774193548
Czechia,0.0067741935483870966
Australia,0.006709677419354839
Algeria,0.0036774193548387095
United States,0.0034838709677419357
Egypt,0.0033548387096774194
Ivory Coast,0.002774193548387097
Sweden,0.0025806451612903226
Bosnia and Herzegovina,0.0012903225806451613
Uzbekistan,0.0010967741935483872
Panama,0.001032258064516129
DR Congo,0.0007741935483870968
Tunisia,0.0007096774193548388
South Africa,0.0006451612903225806
Jordan,0.00045161290322580643
Haiti,0.00025806451612903227
Iraq,0.00012903225806451613
New Zealand,0.00012903225806451613
Cape Verde,0.00012903225806451613
Qatar,6.451612903225807e-05
